objid,ra,dec,z,zErr,psfMag_g,psfMag_r,psfMagErr_g,psfMagErr_r
1237667911141032147,212.18145,22.267457,0.177964,1.235237E-5,19.270365,18.959951,0.021036,0.014961
1237667911140966591,212.01722,22.339584,0.138164,2.848508E-5,19.600004,18.823225,0.032697,0.026283
1237667911141032134,212.1467,22.137083,0.183246,3.228099E-5,19.749126,18.708006,0.02214,0.013933
1237667911141032049,212.02165,22.232801,0.161268,1.113829E-5,19.550823,19.21418,0.021925,0.015481
1237665565532291316,212.09148,22.040704,0.160604,2.770668E-5,19.571442,18.541813,0.015719,0.013949
1237665566069227708,212.20045,22.380931,0.314919,7.081198E-5,21.183289,19.656376,0.03858,0.020588
1237665566069162303,212.10529,22.352624,0.046555,1.143091E-5,20.81546,20.558172,0.028952,0.028617
1237665565532291250,211.99875,22.105053,0.1098,2.887337E-5,19.513992,18.644304,0.015446,0.014072
1237667911677771977,211.95275,22.759614,0.356353,9.983847E-5,21.469378,20.130016,0.196591,0.127077
1237665566605901973,211.90458,22.961581,0.068008,7.315433E-6,18.798611,18.207258,0.020303,0.013494
1237667912214642736,211.96619,23.103291,0.416989,9.491547E-5,22.013287,20.564533,0.48837,0.24474
1237667911677771866,211.80241,22.758814,0.140081,8.557547E-6,19.629032,19.520628,0.019241,0.017574
1237665566605836550,211.65725,22.946861,0.21676,4.484542E-5,20.593475,19.341297,0.025237,0.018494
1237667911677640876,211.6097,22.763699,0.067853,1.855781E-5,18.936455,18.194221,0.036683,0.012482
1237665566068834473,211.35617,22.59112,0.067212,1.412626E-5,18.492769,17.780783,0.013094,0.011457
1237665566068834484,211.37384,22.553776,0.067545,1.838659E-5,20.228394,19.427248,0.020393,0.015878
1237665566069096531,211.91248,22.450741,0.098481,2.195037E-5,19.25585,18.412621,0.020496,0.014411
1237667911677771888,211.82287,22.658071,0.06705,2.440518E-5,19.047501,18.456438,0.016762,0.013587
1237665566605902043,211.83775,22.89414,0.424073,9.686795E-5,21.90053,20.319605,0.060074,0.024413
1237665566605705347,211.33483,23.020264,0.138601,1.126337E-5,19.311932,18.542006,0.022667,0.019104
1237667911677640897,211.50228,22.755431,0.309855,5.378717E-5,20.951532,19.543264,0.047025,0.021893
1237667911677706334,211.63745,22.65933,0.066084,1.692584E-5,19.026146,18.522186,0.021545,0.01511
1237667912751579240,212.12555,23.520364,0.067165,1.304212E-5,19.498125,19.423098,0.024603,0.017326
1237665567142838548,212.16449,23.235438,0.068201,2.597707E-5,19.436089,18.767181,0.02074,0.016132
1237665567142903890,212.2166,23.311197,0.069175,2.48422E-5,19.439848,18.629963,0.056145,0.044787
